Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Age_Group
0,3,male,22.0,7.25,Unknown,S,Adult
1,1,female,38.0,71.2833,C85,C,Adult
1,3,female,26.0,7.925,Unknown,S,Adult
1,1,female,35.0,53.1,C123,S,Adult
0,3,male,35.0,8.05,Unknown,S,Adult
0,3,male,30.0,8.4583,Unknown,Q,Adult
0,1,male,54.0,51.8625,E46,S,Senior
0,3,male,2.0,21.075,Unknown,S,Infant
1,3,female,27.0,11.1333,Unknown,S,Adult
1,2,female,14.0,30.0708,Unknown,C,Child
1,3,female,4.0,16.7,G6,S,Infant
1,1,female,58.0,26.55,C103,S,Senior
0,3,male,20.0,8.05,Unknown,S,Adult
0,3,male,39.0,31.275,Unknown,S,Adult
0,3,female,14.0,7.8542,Unknown,S,Child
1,2,female,55.0,16.0,Unknown,S,Senior
0,3,male,2.0,29.125,Unknown,Q,Infant
1,2,male,30.0,13.0,Unknown,S,Adult
0,3,female,31.0,18.0,Unknown,S,Adult
1,3,female,30.0,7.225,Unknown,C,Adult
0,2,male,35.0,26.0,Unknown,S,Adult
1,2,male,34.0,13.0,D56,S,Adult
1,3,female,15.0,8.0292,Unknown,Q,Child
1,1,male,28.0,35.5,A6,S,Adult
0,3,female,8.0,21.075,Unknown,S,Child
1,3,female,38.0,31.3875,Unknown,S,Adult
0,3,male,30.0,7.225,Unknown,C,Adult
0,1,male,19.0,263.0,C23 C25 C27,S,Adult
1,3,female,30.0,7.8792,Unknown,Q,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,1,male,40.0,27.7208,Unknown,C,Adult
1,1,female,30.0,146.5208,B78,C,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
0,2,male,66.0,10.5,Unknown,S,Senior
0,1,male,28.0,82.1708,Unknown,C,Adult
0,1,male,42.0,52.0,Unknown,S,Adult
1,3,male,30.0,7.2292,Unknown,C,Adult
0,3,male,21.0,8.05,Unknown,S,Adult
0,3,female,18.0,18.0,Unknown,S,Adult
1,3,female,14.0,11.2417,Unknown,C,Child
0,3,female,40.0,9.475,Unknown,S,Adult
0,2,female,27.0,21.0,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,C,Adult
1,2,female,3.0,41.5792,Unknown,C,Infant
1,3,female,19.0,7.8792,Unknown,Q,Adult
0,3,male,30.0,8.05,Unknown,S,Adult
0,3,male,30.0,15.5,Unknown,Q,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
0,3,male,30.0,21.6792,Unknown,C,Adult
0,3,female,18.0,17.8,Unknown,S,Adult
0,3,male,7.0,39.6875,Unknown,S,Child
0,3,male,21.0,7.8,Unknown,S,Adult
1,1,female,49.0,76.7292,D33,C,Adult
1,2,female,29.0,26.0,Unknown,S,Adult
0,1,male,65.0,61.9792,B30,C,Senior
1,1,male,30.0,35.5,C52,S,Adult
1,2,female,21.0,10.5,Unknown,S,Adult
0,3,male,28.5,7.2292,Unknown,C,Adult
1,2,female,5.0,27.75,Unknown,S,Infant
0,3,male,11.0,46.9,Unknown,S,Child
0,3,male,22.0,7.2292,Unknown,C,Adult
0,1,male,45.0,83.475,C83,S,Adult
0,3,male,4.0,27.9,Unknown,S,Infant
0,1,male,30.0,27.7208,Unknown,C,Adult
1,3,male,30.0,15.2458,Unknown,C,Adult
1,2,female,29.0,10.5,F33,S,Adult
0,3,male,19.0,8.1583,Unknown,S,Adult
1,3,female,17.0,7.925,Unknown,S,Child
0,3,male,26.0,8.6625,Unknown,S,Adult
0,2,male,32.0,10.5,Unknown,S,Adult
0,3,female,16.0,46.9,Unknown,S,Child
0,2,male,21.0,73.5,Unknown,S,Adult
0,3,male,26.0,14.4542,Unknown,C,Adult
1,3,male,32.0,56.4958,Unknown,S,Adult
0,3,male,25.0,7.65,F G73,S,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,3,male,30.0,8.05,Unknown,S,Adult
1,2,male,0.83,29.0,Unknown,S,Infant
1,3,female,30.0,12.475,Unknown,S,Adult
0,3,male,22.0,9.0,Unknown,S,Adult
1,3,male,29.0,9.5,Unknown,S,Adult
1,3,female,30.0,7.7875,Unknown,Q,Adult
0,1,male,28.0,47.1,Unknown,S,Adult
1,2,female,17.0,10.5,Unknown,S,Child
1,3,female,33.0,15.85,Unknown,S,Adult
0,3,male,16.0,34.375,Unknown,S,Child
0,3,male,30.0,8.05,Unknown,S,Adult
1,1,female,23.0,263.0,C23 C25 C27,S,Adult
0,3,male,24.0,8.05,Unknown,S,Adult
0,3,male,29.0,8.05,Unknown,S,Adult
0,3,male,20.0,7.8542,Unknown,S,Adult
0,1,male,46.0,61.175,E31,S,Adult
0,3,male,26.0,20.575,Unknown,S,Adult
0,3,male,59.0,7.25,Unknown,S,Senior
0,3,male,30.0,8.05,Unknown,S,Adult
0,1,male,71.0,34.6542,A5,C,Senior
1,1,male,23.0,63.3583,D10 D12,C,Adult
1,2,female,34.0,23.0,Unknown,S,Adult
0,2,male,34.0,26.0,Unknown,S,Adult
0,3,female,28.0,7.8958,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,1,male,21.0,77.2875,D26,S,Adult
0,3,male,33.0,8.6542,Unknown,S,Adult
0,3,male,37.0,7.925,Unknown,S,Adult
0,3,male,28.0,7.8958,Unknown,S,Adult
1,3,female,21.0,7.65,Unknown,S,Adult
1,3,male,30.0,7.775,Unknown,S,Adult
0,3,male,38.0,7.8958,Unknown,S,Adult
1,3,female,30.0,24.15,Unknown,Q,Adult
0,1,male,47.0,52.0,C110,S,Adult
0,3,female,14.5,14.4542,Unknown,C,Child
0,3,male,22.0,8.05,Unknown,S,Adult
0,3,female,20.0,9.825,Unknown,S,Adult
0,3,female,17.0,14.4583,Unknown,C,Child
0,3,male,21.0,7.925,Unknown,S,Adult
0,3,male,70.5,7.75,Unknown,Q,Senior
0,2,male,29.0,21.0,Unknown,S,Adult
0,1,male,24.0,247.5208,B58 B60,C,Adult
0,3,female,2.0,31.275,Unknown,S,Infant
0,2,male,21.0,73.5,Unknown,S,Adult
0,3,male,30.0,8.05,Unknown,S,Adult
0,2,male,32.5,30.0708,Unknown,C,Adult
1,2,female,32.5,13.0,E101,S,Adult
0,1,male,54.0,77.2875,D26,S,Senior
1,3,male,12.0,11.2417,Unknown,C,Child
0,3,male,30.0,7.75,Unknown,Q,Adult
1,3,male,24.0,7.1417,Unknown,S,Adult
1,3,female,30.0,22.3583,F E69,C,Adult
0,3,male,45.0,6.975,Unknown,S,Adult
0,3,male,33.0,7.8958,Unknown,C,Adult
0,3,male,20.0,7.05,Unknown,S,Adult
0,3,female,47.0,14.5,Unknown,S,Adult
1,2,female,29.0,26.0,Unknown,S,Adult
0,2,male,25.0,13.0,Unknown,S,Adult
0,2,male,23.0,15.0458,Unknown,C,Adult
1,1,female,19.0,26.2833,D47,S,Adult
0,1,male,37.0,53.1,C123,S,Adult
0,3,male,16.0,9.2167,Unknown,S,Child
0,1,male,24.0,79.2,B86,C,Adult
0,3,female,30.0,15.2458,Unknown,C,Adult
1,3,female,22.0,7.75,Unknown,S,Adult
1,3,female,24.0,15.85,Unknown,S,Adult
0,3,male,19.0,6.75,Unknown,Q,Adult
0,2,male,18.0,11.5,Unknown,S,Adult
0,2,male,19.0,36.75,Unknown,S,Adult
1,3,male,27.0,7.7958,Unknown,S,Adult
0,3,female,9.0,34.375,Unknown,S,Child
0,2,male,36.5,26.0,F2,S,Adult
0,2,male,42.0,13.0,Unknown,S,Adult
0,2,male,51.0,12.525,Unknown,S,Senior
1,1,female,22.0,66.6,C2,S,Adult
0,3,male,55.5,8.05,Unknown,S,Senior
0,3,male,40.5,14.5,Unknown,S,Adult
0,3,male,30.0,7.3125,Unknown,S,Adult
0,1,male,51.0,61.3792,Unknown,C,Senior
1,3,female,16.0,7.7333,Unknown,Q,Child
0,3,male,30.0,8.05,Unknown,S,Adult
0,3,male,30.0,8.6625,Unknown,S,Adult
0,3,male,30.0,69.55,Unknown,S,Adult
0,3,male,44.0,16.1,Unknown,S,Adult
1,2,female,40.0,15.75,Unknown,S,Adult
0,3,male,26.0,7.775,Unknown,S,Adult
0,3,male,17.0,8.6625,Unknown,S,Child
0,3,male,1.0,39.6875,Unknown,S,Infant
1,3,male,9.0,20.525,Unknown,S,Child
1,1,female,30.0,55.0,E33,S,Adult
0,3,female,45.0,27.9,Unknown,S,Adult
0,1,male,30.0,25.925,Unknown,S,Adult
0,3,male,28.0,56.4958,Unknown,S,Adult
0,1,male,61.0,33.5,B19,S,Senior
0,3,male,4.0,29.125,Unknown,Q,Infant
1,3,female,1.0,11.1333,Unknown,S,Infant
0,3,male,21.0,7.925,Unknown,S,Adult
0,1,male,56.0,30.6958,A7,C,Senior
0,3,male,18.0,7.8542,Unknown,S,Adult
0,3,male,30.0,25.4667,Unknown,S,Adult
0,1,female,50.0,28.7125,C49,C,Senior
0,2,male,30.0,13.0,Unknown,S,Adult
0,3,male,36.0,0.0,Unknown,S,Adult
0,3,female,30.0,69.55,Unknown,S,Adult
0,2,male,30.0,15.05,Unknown,C,Adult
0,3,male,9.0,31.3875,Unknown,S,Child
1,2,male,1.0,39.0,F4,S,Infant
1,3,female,4.0,22.025,Unknown,S,Infant
0,1,male,30.0,50.0,A32,S,Adult
1,3,female,30.0,15.5,Unknown,Q,Adult
1,1,male,45.0,26.55,Unknown,S,Adult
0,3,male,40.0,15.5,Unknown,Q,Adult
0,3,male,36.0,7.8958,Unknown,S,Adult
1,2,female,32.0,13.0,Unknown,S,Adult
0,2,male,19.0,13.0,Unknown,S,Adult
1,3,female,19.0,7.8542,Unknown,S,Adult
1,2,male,3.0,26.0,F2,S,Infant
1,1,female,44.0,27.7208,B4,C,Adult
1,1,female,58.0,146.5208,B80,C,Senior
0,3,male,30.0,7.75,Unknown,Q,Adult
0,3,male,42.0,8.4042,Unknown,S,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
0,2,female,24.0,13.0,Unknown,S,Adult
0,3,male,28.0,9.5,Unknown,S,Adult
0,3,male,30.0,69.55,Unknown,S,Adult
0,3,male,34.0,6.4958,Unknown,S,Adult
0,3,male,45.5,7.225,Unknown,C,Adult
1,3,male,18.0,8.05,Unknown,S,Adult
0,3,female,2.0,10.4625,G6,S,Infant
0,3,male,32.0,15.85,Unknown,S,Adult
1,3,male,26.0,18.7875,Unknown,C,Adult
1,3,female,16.0,7.75,Unknown,Q,Child
1,1,male,40.0,31.0,A31,C,Adult
0,3,male,24.0,7.05,Unknown,S,Adult
1,2,female,35.0,21.0,Unknown,S,Adult
0,3,male,22.0,7.25,Unknown,S,Adult
0,2,male,30.0,13.0,Unknown,S,Adult
0,3,male,30.0,7.75,Unknown,Q,Adult
1,1,female,31.0,113.275,D36,C,Adult
1,3,female,27.0,7.925,Unknown,S,Adult
0,2,male,42.0,27.0,Unknown,S,Adult
1,1,female,32.0,76.2917,D15,C,Adult
0,2,male,30.0,10.5,Unknown,S,Adult
1,3,male,16.0,8.05,Unknown,S,Child
0,2,male,27.0,13.0,Unknown,S,Adult
0,3,male,51.0,8.05,Unknown,S,Senior
0,3,male,30.0,7.8958,Unknown,S,Adult
1,1,male,38.0,90.0,C93,S,Adult
0,3,male,22.0,9.35,Unknown,S,Adult
1,2,male,19.0,10.5,Unknown,S,Adult
0,3,male,20.5,7.25,Unknown,S,Adult
0,2,male,18.0,13.0,Unknown,S,Adult
0,3,female,30.0,25.4667,Unknown,S,Adult
1,1,female,35.0,83.475,C83,S,Adult
0,3,male,29.0,7.775,Unknown,S,Adult
0,2,male,59.0,13.5,Unknown,S,Senior
1,3,female,5.0,31.3875,Unknown,S,Infant
0,2,male,24.0,10.5,Unknown,S,Adult
0,3,female,30.0,7.55,Unknown,S,Adult
0,2,male,44.0,26.0,Unknown,S,Adult
1,2,female,8.0,26.25,Unknown,S,Child
0,2,male,19.0,10.5,Unknown,S,Adult
0,2,male,33.0,12.275,Unknown,S,Adult
0,3,female,30.0,14.4542,Unknown,C,Adult
1,3,female,30.0,15.5,Unknown,Q,Adult
0,2,male,29.0,10.5,Unknown,S,Adult
0,3,male,22.0,7.125,Unknown,S,Adult
0,3,male,30.0,7.225,Unknown,C,Adult
0,1,male,44.0,90.0,C78,Q,Adult
0,3,female,25.0,7.775,Unknown,S,Adult
1,2,female,24.0,14.5,Unknown,S,Adult
1,1,male,37.0,52.5542,D35,S,Adult
0,2,male,54.0,26.0,Unknown,S,Senior
0,3,male,30.0,7.25,Unknown,S,Adult
0,3,female,29.0,10.4625,G6,S,Adult
0,1,male,62.0,26.55,C87,S,Senior
0,3,male,30.0,16.1,Unknown,S,Adult
0,3,female,41.0,20.2125,Unknown,S,Adult
1,3,female,29.0,15.2458,Unknown,C,Adult
1,1,female,30.0,79.2,Unknown,C,Adult
1,1,female,30.0,86.5,B77,S,Adult
1,1,female,35.0,512.3292,Unknown,C,Adult
1,2,female,50.0,26.0,Unknown,S,Senior
0,3,male,30.0,7.75,Unknown,Q,Adult
1,3,male,3.0,31.3875,Unknown,S,Infant
0,1,male,52.0,79.65,E67,S,Senior
0,1,male,40.0,0.0,B94,S,Adult
0,3,female,30.0,7.75,Unknown,Q,Adult
0,2,male,36.0,10.5,Unknown,S,Adult
0,3,male,16.0,39.6875,Unknown,S,Child
1,3,male,25.0,7.775,Unknown,S,Adult
1,1,female,58.0,153.4625,C125,S,Senior
1,1,female,35.0,135.6333,C99,S,Adult
0,1,male,30.0,31.0,Unknown,S,Adult
1,3,male,25.0,0.0,Unknown,S,Adult
1,2,female,41.0,19.5,Unknown,S,Adult
0,1,male,37.0,29.7,C118,C,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
1,1,female,63.0,77.9583,D7,S,Senior
0,3,female,45.0,7.75,Unknown,S,Adult
0,2,male,30.0,0.0,Unknown,S,Adult
0,3,male,7.0,29.125,Unknown,Q,Child
1,3,female,35.0,20.25,Unknown,S,Adult
0,3,male,65.0,7.75,Unknown,Q,Senior
0,3,male,28.0,7.8542,Unknown,S,Adult
0,3,male,16.0,9.5,Unknown,S,Child
1,3,male,19.0,8.05,Unknown,S,Adult
0,1,male,30.0,26.0,A19,S,Adult
0,3,male,33.0,8.6625,Unknown,C,Adult
1,3,male,30.0,9.5,Unknown,S,Adult
0,3,male,22.0,7.8958,Unknown,S,Adult
1,2,male,42.0,13.0,Unknown,S,Adult
1,3,female,22.0,7.75,Unknown,Q,Adult
1,1,female,26.0,78.85,Unknown,S,Adult
1,1,female,19.0,91.0792,B49,C,Adult
0,2,male,36.0,12.875,D,C,Adult
0,3,female,24.0,8.85,Unknown,S,Adult
0,3,male,24.0,7.8958,Unknown,S,Adult
0,1,male,30.0,27.7208,Unknown,C,Adult
0,3,male,23.5,7.2292,Unknown,C,Adult
0,1,female,2.0,151.55,C22 C26,S,Infant
1,1,male,30.0,30.5,C106,S,Adult
1,1,female,50.0,247.5208,B58 B60,C,Senior
1,3,female,30.0,7.75,Unknown,Q,Adult
1,3,male,30.0,23.25,Unknown,Q,Adult
0,3,male,19.0,0.0,Unknown,S,Adult
1,2,female,30.0,12.35,E101,Q,Adult
0,3,male,30.0,8.05,Unknown,S,Adult
1,1,male,0.92,151.55,C22 C26,S,Infant
1,1,female,30.0,110.8833,Unknown,C,Adult
1,1,female,17.0,108.9,C65,C,Child
0,2,male,30.0,24.0,Unknown,C,Adult
1,1,female,30.0,56.9292,E36,C,Adult
1,1,female,24.0,83.1583,C54,C,Adult
1,1,female,18.0,262.375,B57 B59 B63 B66,C,Adult
0,2,female,26.0,26.0,Unknown,S,Adult
0,3,male,28.0,7.8958,Unknown,S,Adult
0,2,male,43.0,26.25,Unknown,S,Adult
1,3,female,26.0,7.8542,Unknown,S,Adult
1,2,female,24.0,26.0,Unknown,S,Adult
0,2,male,54.0,14.0,Unknown,S,Senior
1,1,female,31.0,164.8667,C7,S,Adult
1,1,female,40.0,134.5,E34,C,Adult
0,3,male,22.0,7.25,Unknown,S,Adult
0,3,male,27.0,7.8958,Unknown,S,Adult
1,2,female,30.0,12.35,Unknown,Q,Adult
1,2,female,22.0,29.0,Unknown,S,Adult
0,3,male,30.0,69.55,Unknown,S,Adult
1,1,female,36.0,135.6333,C32,C,Adult
0,3,male,61.0,6.2375,Unknown,S,Senior
1,2,female,36.0,13.0,D,S,Adult
1,3,female,31.0,20.525,Unknown,S,Adult
1,1,female,16.0,57.9792,B18,C,Child
1,3,female,30.0,23.25,Unknown,Q,Adult
0,1,male,45.5,28.5,C124,S,Adult
0,1,male,38.0,153.4625,C91,S,Adult
0,3,male,16.0,18.0,Unknown,S,Child
1,1,female,30.0,133.65,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,1,male,29.0,66.6,C2,S,Adult
1,1,female,41.0,134.5,E40,C,Adult
1,3,male,45.0,8.05,Unknown,S,Adult
0,1,male,45.0,35.5,T,S,Adult
1,2,male,2.0,26.0,F2,S,Infant
1,1,female,24.0,263.0,C23 C25 C27,S,Adult
0,2,male,28.0,13.0,Unknown,S,Adult
0,2,male,25.0,13.0,Unknown,S,Adult
0,2,male,36.0,13.0,Unknown,S,Adult
1,2,female,24.0,13.0,F33,S,Adult
1,2,female,40.0,13.0,Unknown,S,Adult
1,3,female,30.0,16.1,Unknown,S,Adult
1,3,male,3.0,15.9,Unknown,S,Infant
0,3,male,42.0,8.6625,Unknown,S,Adult
0,3,male,23.0,9.225,Unknown,S,Adult
0,1,male,30.0,35.0,C128,S,Adult
0,3,male,15.0,7.2292,Unknown,C,Child
0,3,male,25.0,17.8,Unknown,S,Adult
0,3,male,30.0,7.225,Unknown,C,Adult
0,3,male,28.0,9.5,Unknown,S,Adult
1,1,female,22.0,55.0,E33,S,Adult
0,2,female,38.0,13.0,Unknown,S,Adult
1,3,female,30.0,7.8792,Unknown,Q,Adult
1,3,female,30.0,7.8792,Unknown,Q,Adult
0,3,male,40.0,27.9,Unknown,S,Adult
0,2,male,29.0,27.7208,Unknown,C,Adult
0,3,female,45.0,14.4542,Unknown,C,Adult
0,3,male,35.0,7.05,Unknown,S,Adult
0,3,male,30.0,15.5,Unknown,Q,Adult
0,3,male,30.0,7.25,Unknown,S,Adult
1,1,female,60.0,75.25,D37,C,Senior
1,3,female,30.0,7.2292,Unknown,C,Adult
1,3,female,30.0,7.75,Unknown,Q,Adult
1,1,female,24.0,69.3,B35,C,Adult
1,1,male,25.0,55.4417,E50,C,Adult
0,3,male,18.0,6.4958,Unknown,S,Adult
0,3,male,19.0,8.05,Unknown,S,Adult
0,1,male,22.0,135.6333,Unknown,C,Adult
0,3,female,3.0,21.075,Unknown,S,Infant
1,1,female,30.0,82.1708,Unknown,C,Adult
1,3,female,22.0,7.25,Unknown,S,Adult
0,1,male,27.0,211.5,C82,C,Adult
0,3,male,20.0,4.0125,Unknown,C,Adult
0,3,male,19.0,7.775,Unknown,S,Adult
1,1,female,42.0,227.525,Unknown,C,Adult
1,3,female,1.0,15.7417,Unknown,C,Infant
0,3,male,32.0,7.925,Unknown,S,Adult
1,1,female,35.0,52.0,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,2,male,18.0,73.5,Unknown,S,Adult
0,3,male,1.0,46.9,Unknown,S,Infant
1,2,female,36.0,13.0,Unknown,S,Adult
0,3,male,30.0,7.7292,Unknown,Q,Adult
1,2,female,17.0,12.0,Unknown,C,Child
1,1,male,36.0,120.0,B96 B98,S,Adult
1,3,male,21.0,7.7958,Unknown,S,Adult
0,3,male,28.0,7.925,Unknown,S,Adult
1,1,female,23.0,113.275,D36,C,Adult
1,3,female,24.0,16.7,G6,S,Adult
0,3,male,22.0,7.7958,Unknown,S,Adult
0,3,female,31.0,7.8542,Unknown,S,Adult
0,2,male,46.0,26.0,Unknown,S,Adult
0,2,male,23.0,10.5,Unknown,S,Adult
1,2,female,28.0,12.65,Unknown,S,Adult
1,3,male,39.0,7.925,Unknown,S,Adult
0,3,male,26.0,8.05,Unknown,S,Adult
0,3,female,21.0,9.825,Unknown,S,Adult
0,3,male,28.0,15.85,Unknown,S,Adult
0,3,female,20.0,8.6625,Unknown,S,Adult
0,2,male,34.0,21.0,Unknown,S,Adult
0,3,male,51.0,7.75,Unknown,S,Senior
1,2,male,3.0,18.75,Unknown,S,Infant
0,3,male,21.0,7.775,Unknown,S,Adult
0,3,female,30.0,25.4667,Unknown,S,Adult
0,3,male,30.0,7.8958,Unknown,S,Adult
0,3,male,30.0,6.8583,Unknown,Q,Adult
1,1,female,33.0,90.0,C78,Q,Adult
0,2,male,30.0,0.0,Unknown,S,Adult
1,3,male,44.0,7.925,Unknown,S,Adult
0,3,female,30.0,8.05,Unknown,S,Adult
1,2,female,34.0,32.5,Unknown,S,Adult
1,2,female,18.0,13.0,Unknown,S,Adult
0,2,male,30.0,13.0,Unknown,S,Adult
0,3,female,10.0,24.15,Unknown,S,Child
0,3,male,30.0,7.8958,Unknown,C,Adult
0,3,male,21.0,7.7333,Unknown,Q,Adult
0,3,male,29.0,7.875,Unknown,S,Adult
0,3,female,28.0,14.4,Unknown,S,Adult
0,3,male,18.0,20.2125,Unknown,S,Adult
0,3,male,30.0,7.25,Unknown,S,Adult
1,2,female,28.0,26.0,Unknown,S,Adult
1,2,female,19.0,26.0,Unknown,S,Adult
0,3,male,30.0,7.75,Unknown,Q,Adult
1,3,male,32.0,8.05,E10,S,Adult
1,1,male,28.0,26.55,C52,S,Adult
1,3,female,30.0,16.1,Unknown,S,Adult
1,2,female,42.0,26.0,Unknown,S,Adult
0,3,male,17.0,7.125,Unknown,S,Child
0,1,male,50.0,55.9,E44,S,Senior
1,1,female,14.0,120.0,B96 B98,S,Child
0,3,female,21.0,34.375,Unknown,S,Adult
1,2,female,24.0,18.75,Unknown,S,Adult
0,1,male,64.0,263.0,C23 C25 C27,S,Senior
0,2,male,31.0,10.5,Unknown,S,Adult
1,2,female,45.0,26.25,Unknown,S,Adult
0,3,male,20.0,9.5,Unknown,S,Adult
0,3,male,25.0,7.775,Unknown,S,Adult
